OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY
1,08043979000,527.94,356.66,699.23,637.8,634.79,640.81,"Census Tract 9790, Fremont County, Colorado",FREMONT,Not Different Than State Average
2,08045951600,266.94,189.53,344.35,637.8,634.79,640.81,"Census Tract 9516, Garfield County, Colorado",GARFIELD,Lower Than State Average
3,08069002803,0,0,0,637.8,634.79,640.81,"Census Tract 28.03, Larimer County, Colorado",LARIMER,No Events or Data Suppressed
4,08125963200,350.95,281.08,420.83,637.8,634.79,640.81,"Census Tract 9632, Yuma County, Colorado",YUMA,Lower Than State Average
5,08069002401,1002.35,285.47,1719.23,637.8,634.79,640.81,"Census Tract 24.01, Larimer County, Colorado",LARIMER,Not Different Than State Average
6,08069002402,645.92,476.5,815.34,637.8,634.79,640.81,"Census Tract 24.02, Larimer County, Colorado",LARIMER,Not Different Than State Average
7,08103951200,234.94,147.08,322.8,637.8,634.79,640.81,"Census Tract 9512, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average
8,08103951100,171.05,112.7,229.41,637.8,634.79,640.81,"Census Tract 9511, Rio Blanco County, Colorado",RIO BLANCO,Lower Than State Average
9,08049000201,272.05,196.87,347.22,637.8,634.79,640.81,"Census Tract 2.01, Grand County, Colorado",GRAND,Lower Than State Average
10,08049000202,82.95,50.98,114.91,637.8,634.79,640.81,"Census Tract 2.02, Grand County, Colorado",GRAND,Lower Than State Average
11,08049000100,278.39,180.65,376.14,637.8,634.79,640.81,"Census Tract 1, Grand County, Colorado",GRAND,Lower Than State Average
12,08081000600,326.75,175.88,477.61,637.8,634.79,640.81,"Census Tract 6, Moffat County, Colorado",MOFFAT,Lower Than State Average
13,08081000500,464.79,367.18,562.39,637.8,634.79,640.81,"Census Tract 5, Moffat County, Colorado",MOFFAT,Lower Than State Average
14,08081000400,557.91,455.73,660.08,637.8,634.79,640.81,"Census Tract 4, Moffat County, Colorado",MOFFAT,Not Different Than State Average
15,08081000300,432.46,322.57,542.35,637.8,634.79,640.81,"Census Tract 3, Moffat County, Colorado",MOFFAT,Lower Than State Average
16,08057955600,272.54,151.03,394.05,637.8,634.79,640.81,"Census Tract 9556, Jackson County, Colorado",JACKSON,Lower Than State Average
17,08121924100,460.64,316.18,605.09,637.8,634.79,640.81,"Census Tract 9241, Washington County, Colorado",WASHINGTON,Lower Than State Average
18,08107000800,280.11,179.02,381.2,637.8,634.79,640.81,"Census Tract 8, Routt County, Colorado",ROUTT,Lower Than State Average
19,08107000700,200.34,141.98,258.7,637.8,634.79,640.81,"Census Tract 7, Routt County, Colorado",ROUTT,Lower Than State Average
20,08107000500,249.62,174.8,324.43,637.8,634.79,640.81,"Census Tract 5, Routt County, Colorado",ROUTT,Lower Than State Average
21,08107000200,166.22,84.86,247.58,637.8,634.79,640.81,"Census Tract 2, Routt County, Colorado",ROUTT,Lower Than State Average
22,08107000400,195.87,120.98,270.75,637.8,634.79,640.81,"Census Tract 4, Routt County, Colorado",ROUTT,Lower Than State Average
23,08107000600,214.49,128.01,300.98,637.8,634.79,640.81,"Census Tract 6, Routt County, Colorado",ROUTT,Lower Than State Average
24,08107000300,115.33,48.24,182.43,637.8,634.79,640.81,"Census Tract 3, Routt County, Colorado",ROUTT,Lower Than State Average
25,08107000100,91.2,40.96,161.28,637.8,634.79,640.81,"Census Tract 1, Routt County, Colorado",ROUTT,Lower Than State Average
26,08051963900,174.2,72.24,320.2,637.8,634.79,640.81,"Census Tract 9639, Gunnison County, Colorado",GUNNISON,Lower Than State Average
27,08051963700,321.96,242.85,401.06,637.8,634.79,640.81,"Census Tract 9637, Gunnison County, Colorado",GUNNISON,Lower Than State Average
28,08051963600,204.34,142.55,266.12,637.8,634.79,640.81,"Census Tract 9636, Gunnison County, Colorado",GUNNISON,Lower Than State Average
29,08051963800,95.17,42.78,147.57,637.8,634.79,640.81,"Census Tract 9638, Gunnison County, Colorado",GUNNISON,Lower Than State Average
30,08021974900,462.42,362.05,562.79,637.8,634.79,640.81,"Census Tract 9749, Conejos County, Colorado",CONEJOS,Lower Than State Average
31,08021974800,115.28,66.79,163.78,637.8,634.79,640.81,"Census Tract 9748, Conejos County, Colorado",CONEJOS,Lower Than State Average
32,08037000703,116.87,57.32,176.42,637.8,634.79,640.81,"Census Tract 7.03, Eagle County, Colorado",EAGLE,Lower Than State Average
33,08037000301,471.68,275.02,668.34,637.8,634.79,640.81,"Census Tract 3.01, Eagle County, Colorado",EAGLE,Not Different Than State Average
34,08037000702,560.54,197.56,923.51,637.8,634.79,640.81,"Census Tract 7.02, Eagle County, Colorado",EAGLE,Not Different Than State Average
35,08037000402,252.1,140.18,364.02,637.8,634.79,640.81,"Census Tract 4.02, Eagle County, Colorado",EAGLE,Lower Than State Average
36,08037000501,0,0,0,637.8,634.79,640.81,"Census Tract 5.01, Eagle County, Colorado",EAGLE,No Events or Data Suppressed
37,08037000502,,,,637.8,634.79,640.81,"Census Tract 5.02, Eagle County, Colorado",EAGLE,No Events or Data Suppressed
38,08037000302,105.65,53.62,157.68,637.8,634.79,640.81,"Census Tract 3.02, Eagle County, Colorado",EAGLE,Lower Than State Average
39,08037000403,166.65,120.6,212.7,637.8,634.79,640.81,"Census Tract 4.03, Eagle County, Colorado",EAGLE,Lower Than State Average
40,08037000701,31.84,4.28,84.95,637.8,634.79,640.81,"Census Tract 7.01, Eagle County, Colorado",EAGLE,Lower Than State Average
41,08037000401,93.12,36.58,149.65,637.8,634.79,640.81,"Census Tract 4.01, Eagle County, Colorado",EAGLE,Lower Than State Average
42,08037000503,354.95,203.81,506.09,637.8,634.79,640.81,"Census Tract 5.03, Eagle County, Colorado",EAGLE,Lower Than State Average
43,08037000100,322.57,180.92,464.22,637.8,634.79,640.81,"Census Tract 1, Eagle County, Colorado",EAGLE,Lower Than State Average
44,08037000600,182.23,99.29,290.11,637.8,634.79,640.81,"Census Tract 6, Eagle County, Colorado",EAGLE,Lower Than State Average
45,08037000200,166.42,103.17,229.67,637.8,634.79,640.81,"Census Tract 2, Eagle County, Colorado",EAGLE,Lower Than State Average
46,08045951901,406.9,308.29,505.51,637.8,634.79,640.81,"Census Tract 9519.01, Garfield County, Colorado",GARFIELD,Lower Than State Average
47,08045951701,332.04,242.88,421.19,637.8,634.79,640.81,"Census Tract 9517.01, Garfield County, Colorado",GARFIELD,Lower Than State Average
48,08045951902,440.88,359.96,521.8,637.8,634.79,640.81,"Census Tract 9519.02, Garfield County, Colorado",GARFIELD,Lower Than State Average
49,08045951702,492.47,390.19,594.75,637.8,634.79,640.81,"Census Tract 9517.02, Garfield County, Colorado",GARFIELD,Lower Than State Average
50,08045952001,311.86,241.01,382.7,637.8,634.79,640.81,"Census Tract 9520.01, Garfield County, Colorado",GARFIELD,Lower Than State Average
51,08045952002,543.56,464.65,622.47,637.8,634.79,640.81,"Census Tract 9520.02, Garfield County, Colorado",GARFIELD,Lower Than State Average
52,08045951803,296.24,209.13,383.36,637.8,634.79,640.81,"Census Tract 9518.03, Garfield County, Colorado",GARFIELD,Lower Than State Average
53,08045951804,312.2,232.33,392.07,637.8,634.79,640.81,"Census Tract 9518.04, Garfield County, Colorado",GARFIELD,Lower Than State Average
54,08045951802,220.97,152.35,289.58,637.8,634.79,640.81,"Census Tract 9518.02, Garfield County, Colorado",GARFIELD,Lower Than State Average
55,08045952100,394.69,329.63,459.76,637.8,634.79,640.81,"Census Tract 9521, Garfield County, Colorado",GARFIELD,Lower Than State Average
56,08067970704,386.26,275.06,497.47,637.8,634.79,640.81,"Census Tract 9707.04, La Plata County, Colorado",LA PLATA,Lower Than State Average
57,08067970703,291.31,225.38,357.24,637.8,634.79,640.81,"Census Tract 9707.03, La Plata County, Colorado",LA PLATA,Lower Than State Average
58,08067970701,152.38,105.15,199.61,637.8,634.79,640.81,"Census Tract 9707.01, La Plata County, Colorado",LA PLATA,Lower Than State Average
59,08067940300,336.2,270.24,402.15,637.8,634.79,640.81,"Census Tract 9403, La Plata County, Colorado",LA PLATA,Lower Than State Average
60,08097000500,281.29,114.82,447.76,637.8,634.79,640.81,"Census Tract 5, Pitkin County, Colorado",PITKIN,Lower Than State Average
61,08097000401,306.89,198.67,415.11,637.8,634.79,640.81,"Census Tract 4.01, Pitkin County, Colorado",PITKIN,Lower Than State Average
62,08097000402,171.55,107.97,235.12,637.8,634.79,640.81,"Census Tract 4.02, Pitkin County, Colorado",PITKIN,Lower Than State Average
63,08097000100,204.2,152.23,256.18,637.8,634.79,640.81,"Census Tract 1, Pitkin County, Colorado",PITKIN,Lower Than State Average
64,08117000402,151.67,81.01,222.34,637.8,634.79,640.81,"Census Tract 4.02, Summit County, Colorado",SUMMIT,Lower Than State Average
65,08117000401,111.2,28.86,193.54,637.8,634.79,640.81,"Census Tract 4.01, Summit County, Colorado",SUMMIT,Lower Than State Average
66,08117000100,90.14,60.22,120.06,637.8,634.79,640.81,"Census Tract 1, Summit County, Colorado",SUMMIT,Lower Than State Average
67,08117000200,263.13,195.59,330.67,637.8,634.79,640.81,"Census Tract 2, Summit County, Colorado",SUMMIT,Lower Than State Average
68,08117000300,164.68,104.08,225.28,637.8,634.79,640.81,"Census Tract 3, Summit County, Colorado",SUMMIT,Lower Than State Average
69,08067971100,438.48,336.13,540.83,637.8,634.79,640.81,"Census Tract 9711, La Plata County, Colorado",LA PLATA,Lower Than State Average
70,08067971000,296.39,205.45,387.33,637.8,634.79,640.81,"Census Tract 9710, La Plata County, Colorado",LA PLATA,Lower Than State Average
71,08067970900,298.77,216.31,381.22,637.8,634.79,640.81,"Census Tract 9709, La Plata County, Colorado",LA PLATA,Lower Than State Average
72,08067970800,308.91,237.29,380.53,637.8,634.79,640.81,"Census Tract 9708, La Plata County, Colorado",LA PLATA,Lower Than State Average
73,08067940400,295.14,231.23,359.04,637.8,634.79,640.81,"Census Tract 9404, La Plata County, Colorado",LA PLATA,Lower Than State Average
