PWS ID (Links to Records),Name,Reports/Notices,County,Status,Federal Type,State Source Type,Water Hauler,Population,Service Connections,Dist Operator,Treatment Operator,Admin Contact,Emails,Phone Numbers
CO0230355,285 BUSINESS PARK,Reports,JEFFERSON,A,"Non-Transient, Non-Community",Groundwater,No,46,1,PAUL E GRANT II,PAUL E GRANT II,BEN GRANT,GRANTAUTO@SKYBEAM.COM;,(BUS) 303-697-0225;
CO0121111,4 WAY RANCH MD 2,Reports,EL PASO,A,Community,Groundwater,No,144,39,CHARLES KLINGLER,CHARLES KLINGLER,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0113050,96 PIPELINE CO INC,Reports,CROWLEY,A,Community,Purchased Groundwater,No,285,100,JANETT GAMBOA,JANETT GAMBOA,KAREN RIEMENSCHNEIDER,FIVESTARFARMS@LIVE.COM;,(BUS) 719-469-4437;
CO0107100,A 1 DISCOUNT WC,Reports,BOULDER,A,Community,Purchased Surface Water,YES,250,1,PETER O'BRIEN JR,PETER O'BRIEN JR,JOHNETTA DAVIS,JOHNETTA.A1WATER@GMAIL.COM;,(BUS) 918-671-9242;
CO0150100,A AND B WA INC,Reports,PROWERS,A,Community,Groundwater,No,100,42,NOLAN THOMPSON,NOLAN THOMPSON,JENNIFER THOMPSON,jennthomps3@gmail.com;,(BUS) 719-940-0078; (BUS) 719-334-0906;
CO0121025,ACADEMY WSD,Reports,EL PASO,A,Community,Groundwater,No,750,302,ANTHONY PASTORELLO,ANTHONY PASTORELLO,ANTHONY PASTORELLO,academywsd@qwestoffice.net;,(BUS) 719-481-0711;
CO0201002,ADAMS COUNTY PARKS,Reports,ADAMS,A,"Non-Transient, Non-Community",Groundwater,No,868,1,JEFF HAVEL,JEFF HAVEL,JEFF HAVEL,JTHAVEL@GMAIL.COM;,(BUS) 720-785-3376;
CO0238104,ADVANTAGE TREATMENT CTR,Reports,LOGAN,A,Community,Groundwater,No,165,4,LYDIA KISER,LYDIA KISER,BRIAN LYNCH,BRIAN.LYNCH@ADVANTAGE-TX.COM;,(BUS) 970-522-7383;
CO0116104,ADVENIR FRENCH QUARTER,Reports,DENVER,A,Community,Purchased Surface Water,No,3447,33,GABRIELLE BEGEMAN,GABRIELLE BEGEMAN,JULIE SORENSEN,jsorensen@orcwater.com;,(BUS) 720-287-0605;
CO0120001,AGATE WA,Reports,ELBERT,A,Community,Groundwater,No,140,38,PAUL E GRANT II,PAUL E GRANT II,MARISA DEWIDT,agatewaterassoc@yahoo.com;,(BUS) 719-764-2803;
CO0136100,AGUILAR TOWN OF,Reports,LAS ANIMAS,A,Community,Groundwater,No,496,357,VIRGIL D BIRKENFELD,VIRGIL D BIRKENFELD,TYRA AVILA,AGUILARTOWNCLERK@GMAIL.COM;,(BUS) 719-941-4360;
CO0161001,AKRON TOWN OF,Reports,WASHINGTON,A,Community,Groundwater,No,2379,967,ESTEVAN VASQUEZ,ESTEVAN VASQUEZ,DENCIA RAISH,ADMIN@TOWNOFAKRON.COM;,(BUS) 970-345-2624; (BUS) 970-420-9264;
CO0130116,ALAMEDA WSD,Reports,JEFFERSON,A,Community,Purchased Surface Water,No,2480,335,KAREN BYRD,null,KAREN BYRD,manager@alamedadistrict.org;,(BUS) 303-936-5313;
CO0102100,ALAMOSA CITY OF,Reports,ALAMOSA,A,Community,Groundwater,No,9590,3549,ROY SANCHEZ,ROY SANCHEZ,HARRY REYNOLDS,HREYNOLDS@CI.ALAMOSA.CO.US;,(BUS) 719-589-6631;
CO0157011,ALDASORO RANCH HOC,Reports,SAN MIGUEL,A,Community,Groundwater,No,73,68,PATRICK DREW,PATRICK DREW,PAMELA BENNETT,PBENNETT@ALDASORORANCH.COM;,(BUS) 970-729-2355;
CO0107115,ALLENSPARK WSD,Reports,BOULDER,A,Community,Surface Water,No,340,101,ANDREW GRIFFITHS,ANDREW GRIFFITHS,ANDREW GRIFFITHS,andyaus@earthlink.net;,(BUS) 303-747-2715;
CO0147001,ALMA TOWN OF,Reports,PARK,A,Community,Surface Water,No,450,202,KATHLEEN WHITE,KATHLEEN WHITE,NANCY COMER,NComer@TownofAlma.com;,(BUS) 719-836-2712;
CO0159119,ALPENSEE WD,Reports,SUMMIT,A,"Non-Transient, Non-Community",Groundwater,No,84,60,RONALD TORRES JR,RONALD TORRES JR,THERESA HERYLA,THERESA@AWWS.ORG;,(BUS) 970-494-1610;
CO0104090,ALPINE LAKES RANCH WC,Reports,ARCHULETA,A,Community,Groundwater,No,194,52,THOMAS J PETERSON,THOMAS J PETERSON,LOYD ROBESON,LOYDWATCO@GMAIL.COM;,(BUS) 970-264-0606;
CO0154117,ALPINE MOUNTAIN RANCH MD,Reports,ROUTT,A,Community,Groundwater UDI Surface Water,No,25,14,BRUCE A THOMPSON,BRUCE A THOMPSON,BRUCE A THOMPSON,yvwater@gmail.com;,(BUS) 970-879-2424;
CO0160050,ALPINE VILLAGE MHP,Reports,TELLER,A,Community,Groundwater,No,80,35,LAWRENCE E WATTERS,LAWRENCE E WATTERS,JENN CAMACHO,AP@CADDISCAPITALINVESTMENTS.COM;,(BUS) 720-316-7298;
CO0134020,ANIMAS WC,Reports,LA PLATA,A,Community,Groundwater,No,2720,1154,RONALD P REA,JOHN DEZENDORF,JESSICA MITCHELL,AWC@ANIMASWATERCOMPANY.COM;,(BUS) 970-259-4788; (BUS) 970-769-8695;
CO0235185,ANNUNCIATION HEIGHTS,Reports,LARIMER,A,Community,Groundwater,No,320,24,RONALD TORRES JR,RONALD TORRES JR,THERESA HERYLA,THERESA@AWWS.ORG;,(BUS) 970-494-1610;
CO0126117,ANTELOPE HILLS ASSOC,Reports,GUNNISON,A,Community,Purchased Surface Water,No,265,107,RONNIE W BENSON,null,AIMEE CRAIG,AMCBOOKKEEPING1@GMAIL.COM;,(BUS) 970-641-3625;
CO0111100,ANTONITO TOWN OF,Reports,CONEJOS,A,Community,Groundwater UDI Surface Water,No,981,435,ROSSI DURAN,RICHARD L HOPP,AARON ABEYTA,ANTONITOMAYOR@GMAIL.COM;,(BUS) 719-580-7687;
CO0123734,APPLE TREE PARK,Reports,GARFIELD,A,Community,Groundwater,No,1160,375,ALAN D LESLIE,ALAN D LESLIE,KELLEY STEVENS,kstevens@ipgmhc.com;,(BUS) 714-851-9297;
CO0203015,APPOGEE KAZMIRA LLC,Reports,ARAPAHOE,A,"Non-Transient, Non-Community",Groundwater,No,200,1,MARK WHITLATCH,MARK WHITLATCH,PRIYANKA SHARMA,PRIYANKA@KAZMIRA-LLC.COM;,(BUS) 630-639-6553;
CO0160075,ARABIAN ACRES MD,Reports,TELLER,A,Community,Groundwater,No,325,151,LYNN WILLOW,LYNN WILLOW,KEVIN WALKER,KEVIN.W@WSDISTRICTS.CO; riley.w@wsdistricts.co;,(BUS) 719-447-1777;
CO0203002,ARAPAHOE CNTY WWWA,Reports,ARAPAHOE,A,Community,Groundwater,No,31000,1960,JEFFERY TYUS,JEFFERY TYUS,MATT LANGRIDGE,MLANGRIDGE1@ACWWA.COM;,(BUS) 303-790-4830;
CO0109001,ARAPAHOE WC,Reports,CHEYENNE,A,Community,Groundwater,No,98,65,JIM BROWN,JIM BROWN,JIM BROWN,JDBROWN_77@YAHOO.COM;,(BUS) 719-342-2925;
CO0255120,AREA 420,Reports,SAGUACHE,A,"Non-Transient, Non-Community",Purchased Groundwater,No,210,48,ANN BUNTING,ANN BUNTING,WHITNEY JUSTICE,whitney@coloradoarea420.com;,(BUS) 540-379-3952; (BUS) 720-538-2162;
