PWS ID,Name,Facility Type,Facility Name,Sample Point ID,Analyte Name,Collection Date (Date & Time),Measure,Unit Of Measure,Max or Action Level,Population,County,Sample Size
CO0221820,1859 RESTAURANT AT SEVEN FALLS,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 1994",5,UG/L,15,170,EL PASO,20
CO0221820,1859 RESTAURANT AT SEVEN FALLS,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jul 1, 1993",5,UG/L,15,170,EL PASO,20
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2021",0,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2020",0,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2019",0,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2018",0,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2017",0,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 2014",0,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 2011",0,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 2008",1,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 2005",1,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 2002",1,UG/L,15,46,JEFFERSON,5
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 2001",1,UG/L,15,46,JEFFERSON,3
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jul 1, 2000",1,UG/L,15,46,JEFFERSON,3
CO0230355,285 BUSINESS PARK,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 1999",1,UG/L,15,46,JEFFERSON,3
CO0121111,4 WAY RANCH MD 2,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2021",0,UG/L,15,144,EL PASO,5
CO0121111,4 WAY RANCH MD 2,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2020",0,UG/L,15,144,EL PASO,5
CO0121111,4 WAY RANCH MD 2,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2019",0,UG/L,15,144,EL PASO,5
CO0121111,4 WAY RANCH MD 2,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2018",0.5,UG/L,15,144,EL PASO,5
CO0121111,4 WAY RANCH MD 2,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jun 1, 2017",0,UG/L,15,144,EL PASO,5
CO0121111,4 WAY RANCH MD 2,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jul 1, 2016",1.5,UG/L,15,144,EL PASO,5
CO0121111,4 WAY RANCH MD 2,DS,DISTRIBUTION SYSTEM,Summary,LEAD 90TH PERCENTILE SUMMARY,"Jan 1, 2016",1.5,UG/L,15,144,EL PASO,5
