"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","Relative Threshold","Heat Metric"
"08","Colorado","08001007801","Adams County, CO - 8001007801","2015","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007801","Adams County, CO - 8001007801","2016","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007801","Adams County, CO - 8001007801","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007801","Adams County, CO - 8001007801","2018","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007801","Adams County, CO - 8001007801","2019","25","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007802","Adams County, CO - 8001007802","2015","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007802","Adams County, CO - 8001007802","2016","18","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007802","Adams County, CO - 8001007802","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007802","Adams County, CO - 8001007802","2018","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007802","Adams County, CO - 8001007802","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007900","Adams County, CO - 8001007900","2015","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007900","Adams County, CO - 8001007900","2016","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007900","Adams County, CO - 8001007900","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007900","Adams County, CO - 8001007900","2018","25","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001007900","Adams County, CO - 8001007900","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008000","Adams County, CO - 8001008000","2015","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008000","Adams County, CO - 8001008000","2016","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008000","Adams County, CO - 8001008000","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008000","Adams County, CO - 8001008000","2018","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008000","Adams County, CO - 8001008000","2019","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008100","Adams County, CO - 8001008100","2015","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008100","Adams County, CO - 8001008100","2016","18","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008100","Adams County, CO - 8001008100","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008100","Adams County, CO - 8001008100","2018","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008100","Adams County, CO - 8001008100","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008200","Adams County, CO - 8001008200","2015","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008200","Adams County, CO - 8001008200","2016","21","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008200","Adams County, CO - 8001008200","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008200","Adams County, CO - 8001008200","2018","25","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008200","Adams County, CO - 8001008200","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008308","Adams County, CO - 8001008308","2015","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008308","Adams County, CO - 8001008308","2016","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008308","Adams County, CO - 8001008308","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008308","Adams County, CO - 8001008308","2018","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008308","Adams County, CO - 8001008308","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008309","Adams County, CO - 8001008309","2015","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008309","Adams County, CO - 8001008309","2016","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008309","Adams County, CO - 8001008309","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008309","Adams County, CO - 8001008309","2018","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008309","Adams County, CO - 8001008309","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008353","Adams County, CO - 8001008353","2015","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008353","Adams County, CO - 8001008353","2016","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008353","Adams County, CO - 8001008353","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008353","Adams County, CO - 8001008353","2018","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008353","Adams County, CO - 8001008353","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008401","Adams County, CO - 8001008401","2015","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008401","Adams County, CO - 8001008401","2016","19","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008401","Adams County, CO - 8001008401","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008401","Adams County, CO - 8001008401","2018","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008401","Adams County, CO - 8001008401","2019","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008402","Adams County, CO - 8001008402","2015","5","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008402","Adams County, CO - 8001008402","2016","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008402","Adams County, CO - 8001008402","2017","16","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008402","Adams County, CO - 8001008402","2018","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008402","Adams County, CO - 8001008402","2019","27","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008505","Adams County, CO - 8001008505","2015","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008505","Adams County, CO - 8001008505","2016","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008505","Adams County, CO - 8001008505","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008505","Adams County, CO - 8001008505","2018","26","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008505","Adams County, CO - 8001008505","2019","24","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008506","Adams County, CO - 8001008506","2015","6","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008506","Adams County, CO - 8001008506","2016","20","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
"08","Colorado","08001008506","Adams County, CO - 8001008506","2017","17","","Relative Threshold: 90th Percentile","Heat Metric: Daily Maximum Temperature"
